id_pedido,id_produto,id_loja,nome_produto,categoria_produto,cidade,data_venda,quantidade_vendida,valor_venda
104,77,2,CodeCode,Ferramentas Educacionais,Belo Horizonte,06/11/2022,19,335.29
105,55,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,19/08/2023,4,81.21
106,17,2,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,04/05/2022,1,198.6
107,32,1,UI/UX-K,Ferramentas Educacionais,Rio de Janeiro,22/05/2024,7,31.49
108,57,5,PowerPro,Ferramentas Criativas,Belo Horizonte,27/06/2023,12,423.37
109,24,4,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,17/05/2023,9,175.41
110,31,4,PowerPro,Ferramentas Criativas,Rio de Janeiro,03/12/2022,15,445.46
111,35,3,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,10/03/2024,11,116.14
112,53,3,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,15/11/2024,11,421.63
113,26,4,CodeCode,Ferramentas de Desenvolvimento,São Paulo,15/11/2022,8,43.06
114,73,1,UI/UX-K,Ferramentas de Desenvolvimento,Belo Horizonte,26/12/2024,9,96.93
115,56,5,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,07/11/2024,9,200.9
116,30,4,PowerPro,Ferramentas Educacionais,São Paulo,11/09/2024,10,228.38
117,99,2,HargenXtudio,Ferramentas Criativas,São Paulo,10/04/2024,4,474.19
118,98,1,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,03/06/2023,18,236.84
119,56,1,CodeCode,Ferramentas de Desenvolvimento,São Paulo,30/10/2022,11,496.41
120,52,1,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,27/10/2022,3,21.08
121,80,5,PowerPro,Ferramentas Criativas,Belo Horizonte,10/12/2024,15,317.75
122,73,5,LostFost,Ferramentas Educacionais,Belo Horizonte,09/06/2023,19,477.7
123,58,5,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,21/07/2022,15,479.35
124,33,3,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,20/05/2023,6,493.99
125,60,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,12/08/2022,3,16.49
126,100,4,PowerPro,Ferramentas Educacionais,Rio de Janeiro,12/03/2024,10,40.67
127,70,5,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,19/05/2022,3,115.15
128,99,3,HargenXtudio,Ferramentas Educacionais,São Paulo,21/05/2023,16,215.57
129,16,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,19/09/2024,19,12.17
130,12,3,LostFost,Ferramentas Criativas,São Paulo,07/04/2023,13,81.89
131,48,5,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,05/01/2023,15,157.16
132,63,1,PowerPro,Ferramentas Educacionais,Belo Horizonte,16/08/2022,5,120.69
133,72,2,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,28/04/2024,5,483.79
134,57,3,UI/UX-K,Ferramentas Criativas,Belo Horizonte,19/07/2022,5,250.51
135,87,3,HargenXtudio,Ferramentas Criativas,São Paulo,28/09/2022,20,167.5
136,47,5,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,13/02/2023,8,395.67
137,63,4,PowerPro,Ferramentas Criativas,São Paulo,27/02/2024,7,24.57
138,49,3,LostFost,Ferramentas de Desenvolvimento,São Paulo,20/04/2024,20,376.66
139,47,5,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,17/11/2024,1,491.62
140,54,1,HargenXtudio,Ferramentas Criativas,São Paulo,22/03/2022,20,483.05
141,44,5,UI/UX-K,Ferramentas Criativas,Belo Horizonte,14/03/2024,17,492.3
142,97,2,UI/UX-K,Ferramentas Criativas,São Paulo,12/04/2023,14,347.61
143,98,2,LostFost,Ferramentas Educacionais,Rio de Janeiro,05/11/2024,19,468.78
144,46,2,HargenXtudio,Ferramentas Criativas,Rio de Janeiro,27/10/2022,5,80.71
145,89,2,UI/UX-K,Ferramentas Educacionais,São Paulo,19/01/2023,16,448.79
146,21,1,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,24/09/2024,16,368.6
147,18,2,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,29/04/2024,18,480.39
148,76,1,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,08/02/2022,13,483.21
149,62,2,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,25/08/2022,4,93.73
150,73,5,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,14/07/2023,20,276.8
151,65,5,CodeCode,Ferramentas de Desenvolvimento,São Paulo,10/05/2023,9,452.25
152,37,3,LostFost,Ferramentas Criativas,Rio de Janeiro,10/09/2023,19,162.14
153,70,5,HargenXtudio,Ferramentas Criativas,Rio de Janeiro,03/11/2023,5,406.5
154,38,3,LostFost,Ferramentas Criativas,Belo Horizonte,06/12/2023,7,44.98
155,85,5,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,13/03/2022,10,390.66
156,84,1,PowerPro,Ferramentas de Desenvolvimento,São Paulo,08/06/2024,20,448.58
157,27,1,UI/UX-K,Ferramentas Criativas,São Paulo,30/04/2024,11,411.65
158,15,2,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,31/10/2022,2,289.34
159,100,5,LostFost,Ferramentas Criativas,Belo Horizonte,07/12/2022,9,473.55
160,81,3,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,28/11/2024,16,233.5
161,57,2,PowerPro,Ferramentas Educacionais,São Paulo,14/09/2023,14,141.38
162,87,5,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,01/11/2024,16,120.26
163,83,5,LostFost,Ferramentas Educacionais,Belo Horizonte,11/05/2024,7,352.1
164,60,4,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,08/04/2022,5,346.5
165,19,5,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,10/10/2023,16,128.88
166,31,5,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,21/03/2022,3,267.2
167,84,4,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,19/03/2024,9,176.88
168,63,1,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,05/03/2023,19,320.96
169,82,2,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,04/03/2023,18,136.31
170,97,3,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,27/05/2023,13,361.18
171,35,3,PowerPro,Ferramentas Educacionais,Rio de Janeiro,21/03/2023,15,275.88
172,13,2,HargenXtudio,Ferramentas Criativas,São Paulo,01/11/2022,8,169.31
173,68,1,LostFost,Ferramentas Criativas,São Paulo,17/12/2023,11,181.9
174,73,4,UI/UX-K,Ferramentas Criativas,Belo Horizonte,11/12/2024,2,132.61
175,38,2,LostFost,Ferramentas Criativas,Rio de Janeiro,14/07/2024,8,307.83
176,85,2,HargenXtudio,Ferramentas Criativas,São Paulo,28/11/2022,12,181.07
177,78,3,CodeCode,Ferramentas Criativas,São Paulo,18/06/2022,13,393.94
178,64,2,PowerPro,Ferramentas Criativas,Belo Horizonte,01/09/2023,18,332.52
179,55,1,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,02/05/2022,1,315.83
180,58,3,PowerPro,Ferramentas Educacionais,Belo Horizonte,24/02/2023,19,201.25
181,50,1,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,21/08/2023,10,399.14
182,57,2,PowerPro,Ferramentas Criativas,Belo Horizonte,28/10/2024,20,223.88
183,23,3,LostFost,Ferramentas Criativas,São Paulo,04/01/2024,10,130.71
184,90,5,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,16/04/2023,9,277.33
185,33,2,UI/UX-K,Ferramentas Criativas,São Paulo,06/08/2024,14,193.69
186,58,4,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,02/10/2022,7,140.57
187,87,4,PowerPro,Ferramentas Criativas,Rio de Janeiro,25/05/2024,3,408.11
188,27,3,UI/UX-K,Ferramentas Criativas,São Paulo,19/10/2022,20,68.86
189,64,3,HargenXtudio,Ferramentas Criativas,São Paulo,01/08/2024,11,164.85
190,29,1,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,16/07/2022,20,431.51
191,93,2,PowerPro,Ferramentas Educacionais,Belo Horizonte,26/04/2023,7,109.24
192,90,1,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,11/09/2024,4,476.11
193,78,5,LostFost,Ferramentas de Desenvolvimento,São Paulo,09/11/2023,13,331.0
194,96,3,HargenXtudio,Ferramentas Criativas,Belo Horizonte,28/08/2022,14,179.14
195,97,1,LostFost,Ferramentas Educacionais,São Paulo,29/07/2024,7,313.31
196,55,1,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,16/02/2023,14,487.28
197,28,5,HargenXtudio,Ferramentas Criativas,Belo Horizonte,26/04/2024,8,415.96
198,85,1,LostFost,Ferramentas Criativas,São Paulo,17/07/2023,5,181.29
199,17,3,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,28/04/2022,5,401.82
200,76,1,CodeCode,Ferramentas Criativas,Rio de Janeiro,15/12/2022,8,152.04
201,92,3,UI/UX-K,Ferramentas Criativas,Belo Horizonte,08/03/2022,15,171.99
202,73,5,UI/UX-K,Ferramentas Criativas,São Paulo,03/09/2022,14,275.07
203,50,3,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,16/05/2022,10,70.39
204,51,4,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,25/08/2022,19,352.29
205,50,4,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,31/08/2024,7,59.8
206,24,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,08/08/2024,9,421.66
207,100,2,LostFost,Ferramentas Criativas,São Paulo,06/03/2023,19,324.07
208,78,5,LostFost,Ferramentas Criativas,Belo Horizonte,07/03/2023,9,206.89
209,16,4,CodeCode,Ferramentas Criativas,São Paulo,17/11/2024,5,323.58
210,97,4,LostFost,Ferramentas de Desenvolvimento,São Paulo,03/07/2024,14,188.39
211,41,3,LostFost,Ferramentas de Desenvolvimento,São Paulo,25/11/2022,2,57.4
212,24,2,CodeCode,Ferramentas Educacionais,Belo Horizonte,08/07/2024,9,401.23
213,52,2,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,16/12/2023,8,43.94
214,59,2,HargenXtudio,Ferramentas Criativas,São Paulo,20/07/2022,5,359.16
215,22,5,PowerPro,Ferramentas de Desenvolvimento,São Paulo,28/01/2022,3,398.24
216,47,5,CodeCode,Ferramentas Educacionais,Rio de Janeiro,25/07/2022,7,128.64
217,38,1,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,03/02/2022,4,235.27
218,55,2,UI/UX-K,Ferramentas Criativas,Belo Horizonte,01/02/2024,5,287.17
219,64,3,HargenXtudio,Ferramentas Criativas,Rio de Janeiro,16/05/2022,20,256.3
220,49,2,LostFost,Ferramentas Criativas,São Paulo,08/03/2022,2,407.38
221,59,5,PowerPro,Ferramentas Criativas,Rio de Janeiro,17/11/2023,17,143.9
222,27,2,UI/UX-K,Ferramentas Criativas,São Paulo,22/06/2023,3,364.72
223,95,4,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,16/11/2023,14,273.3
224,58,1,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,09/02/2023,17,257.51
225,71,5,HargenXtudio,Ferramentas Educacionais,São Paulo,02/09/2022,19,435.1
226,31,5,UI/UX-K,Ferramentas Criativas,Rio de Janeiro,16/10/2023,7,430.2
227,88,5,PowerPro,Ferramentas Educacionais,São Paulo,10/03/2022,19,223.3
228,66,5,PowerPro,Ferramentas Criativas,Belo Horizonte,24/11/2022,8,11.57
229,47,5,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,11/08/2023,15,139.94
230,56,4,HargenXtudio,Ferramentas Educacionais,São Paulo,27/02/2022,15,64.34
231,49,5,CodeCode,Ferramentas Educacionais,Rio de Janeiro,09/10/2024,19,353.17
232,88,4,LostFost,Ferramentas Educacionais,Rio de Janeiro,17/08/2024,1,160.69
233,82,4,LostFost,Ferramentas de Desenvolvimento,São Paulo,19/01/2024,11,135.19
234,18,1,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,06/07/2024,13,77.64
235,22,3,LostFost,Ferramentas Educacionais,Belo Horizonte,02/03/2022,14,51.5
236,78,1,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,17/12/2022,9,417.63
237,26,5,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,02/11/2024,14,495.83
238,56,3,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,10/06/2024,8,472.95
239,58,1,UI/UX-K,Ferramentas Criativas,São Paulo,18/06/2023,19,488.96
240,59,5,CodeCode,Ferramentas Educacionais,Rio de Janeiro,01/06/2023,11,390.83
241,94,4,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,31/07/2024,12,252.04
242,36,4,PowerPro,Ferramentas Educacionais,Rio de Janeiro,27/10/2023,8,420.49
243,29,3,LostFost,Ferramentas Criativas,Belo Horizonte,30/10/2024,12,50.86
244,77,5,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,01/05/2022,2,27.63
245,20,1,CodeCode,Ferramentas Educacionais,Rio de Janeiro,30/10/2024,18,95.76
246,77,1,UI/UX-K,Ferramentas Criativas,Belo Horizonte,02/02/2024,10,221.95
247,58,2,LostFost,Ferramentas Educacionais,Belo Horizonte,29/06/2022,3,46.97
248,80,1,LostFost,Ferramentas Educacionais,Rio de Janeiro,24/06/2023,9,350.55
249,28,4,UI/UX-K,Ferramentas Criativas,São Paulo,30/12/2023,5,164.0
250,95,3,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,18/11/2022,18,401.39
251,49,5,CodeCode,Ferramentas Criativas,São Paulo,12/06/2023,1,201.82
252,36,3,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,20/12/2024,20,477.29
253,90,5,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,24/11/2023,7,132.58
254,81,1,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,29/05/2022,10,474.74
255,67,3,LostFost,Ferramentas Educacionais,Rio de Janeiro,23/07/2023,19,145.09
256,99,5,LostFost,Ferramentas de Desenvolvimento,São Paulo,13/10/2024,20,183.8
257,91,3,UI/UX-K,Ferramentas Criativas,Rio de Janeiro,02/03/2023,13,143.47
258,47,3,CodeCode,Ferramentas Criativas,Rio de Janeiro,22/08/2023,10,199.41
259,36,4,PowerPro,Ferramentas Criativas,Belo Horizonte,06/11/2022,5,460.09
260,29,5,HargenXtudio,Ferramentas de Desenvolvimento,São Paulo,23/12/2022,19,11.43
261,65,4,PowerPro,Ferramentas Educacionais,Belo Horizonte,11/12/2022,7,24.52
262,95,4,LostFost,Ferramentas Criativas,São Paulo,21/03/2023,15,342.66
263,47,1,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,30/05/2022,9,223.7
264,93,4,PowerPro,Ferramentas Criativas,São Paulo,29/06/2023,9,338.06
265,75,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,05/02/2023,3,264.43
266,41,1,UI/UX-K,Ferramentas Educacionais,São Paulo,28/12/2023,5,262.68
267,83,1,HargenXtudio,Ferramentas Criativas,Rio de Janeiro,14/01/2024,3,390.27
268,25,2,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,16/04/2023,10,201.5
269,78,2,LostFost,Ferramentas Criativas,Belo Horizonte,18/12/2023,18,261.33
270,24,3,UI/UX-K,Ferramentas de Desenvolvimento,Belo Horizonte,09/08/2022,7,101.34
271,59,2,UI/UX-K,Ferramentas Criativas,São Paulo,25/11/2023,19,15.11
272,95,4,HargenXtudio,Ferramentas Criativas,Belo Horizonte,10/04/2022,6,223.35
273,22,4,PowerPro,Ferramentas Educacionais,Belo Horizonte,21/06/2024,8,68.29
274,19,2,PowerPro,Ferramentas de Desenvolvimento,São Paulo,30/12/2024,12,26.01
275,73,1,LostFost,Ferramentas Criativas,Rio de Janeiro,02/08/2022,19,444.16
276,43,5,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,08/12/2023,11,416.93
277,21,4,UI/UX-K,Ferramentas de Desenvolvimento,Belo Horizonte,01/01/2024,11,438.23
278,57,3,CodeCode,Ferramentas Criativas,Rio de Janeiro,30/09/2022,8,284.52
279,94,5,UI/UX-K,Ferramentas Criativas,São Paulo,19/11/2024,5,206.99
280,96,3,UI/UX-K,Ferramentas de Desenvolvimento,Belo Horizonte,22/02/2022,17,382.57
281,26,5,CodeCode,Ferramentas de Desenvolvimento,São Paulo,28/08/2022,19,436.33
282,16,5,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,27/05/2024,8,330.32
283,33,4,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,09/01/2024,8,285.62
284,45,5,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,06/09/2024,19,359.35
285,14,4,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,05/10/2023,15,55.72
286,53,1,PowerPro,Ferramentas Educacionais,Belo Horizonte,27/11/2024,14,294.45
287,80,5,PowerPro,Ferramentas Educacionais,Rio de Janeiro,18/05/2022,17,411.51
288,41,2,HargenXtudio,Ferramentas Criativas,São Paulo,19/03/2022,9,221.32
289,50,5,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,16/02/2023,18,485.05
290,64,1,UI/UX-K,Ferramentas Educacionais,São Paulo,02/01/2023,10,146.53
291,62,3,PowerPro,Ferramentas Criativas,Belo Horizonte,09/01/2024,8,215.27
292,18,1,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,16/04/2023,14,210.0
293,71,1,HargenXtudio,Ferramentas Criativas,Rio de Janeiro,04/11/2024,15,293.41
294,97,5,LostFost,Ferramentas Criativas,São Paulo,07/01/2023,12,62.29
295,60,4,PowerPro,Ferramentas Educacionais,Belo Horizonte,20/08/2023,12,434.02
